lat,lng,address,full_address,unique_name_lv,category_lv,building_type_lv,architect_1_lv,architect_2_lv,architect_3_lv,architect_4_lv,architect_all_lv,year_start,year_end,year_start_with_minus,year_display_lv,year_start_us_date,notes_lv,source,city,country,link_image,image,is_from_web,source_lv,author,license
56.9462289,24.1117086,Vecpilsētas iela 17,"Vecpilsētas iela 17, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,,,,Kristofs Hāberlands,1787,1788,-1787,1787–1788,1787-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 67.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_vecpilsetas-iela-17_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_vecpilsetas-iela-17_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9495075,24.1068108,Šķūņu iela 17,"Šķūņu iela 17, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,,,,Kristofs Hāberlands,1787,1794,-1787,1787–1794,1787-01-01,"Holandera nami Šķūņu ielā 17/19. Ovālā zāle Holandera namā Šķūņu ielā 17/19 (1787). Ēkas joprojām redzami vairāki grezni parādes telpu interjeri, klasicisma laikmeta durvis un griestu gleznojumi. Ovālā ēdamzāle otrajā stāvā restaurēta 1959. gadā un vēlreiz no 1975. līdz 1977. gadam. Tagad ēkās atrodas veikali, bibliotēka un biroji.","Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 65.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_skunu-iela-17_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_skunu-iela-17_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9495504,24.1067364,Šķūņu iela 19,"Šķūņu iela 19, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,,,,Kristofs Hāberlands,1787,1787,-1787,1787,1787-01-01,Holandera nami Šķūņu ielā 17/19. Ovālā zāle.,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 65.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_skunu-iela-19_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_skunu-iela-19_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9499267,24.1092808,Zirgu iela 14,"Zirgu iela 14, Centra rajons, Rīga, LV-1050",,Birģera klasicisms,Dzīvojamā ēka,Kristofs Hāberlands,,,,Kristofs Hāberlands,1788,1788,-1788,1788,1788-01-01,,https://wikimapia.org/15169690/lv/Zirgu-iela-14 un https://www.redzet.lv/info/Klasicisms,Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_zirgu-iela-14_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_zirgu-iela-14_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
57.4251941,27.0485612,Pils iela 25,"Pils iela 25, Alūksne, Alūksne pilsēta, Alūksnes novads, LV-4301",Alūksnes evaņģēliski luteriskā baznīca,Evanģēliskās baznīcas,Baznīca,Kristofs Hāberlands,,,,Kristofs Hāberlands,1788,1788,-1788,1788,1788-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 65. un https://kulturaskanons.lv/archive/kristofs-haberlands/",Alūksne,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/aluksne_pils-iela-25_neoclassicism_web.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/aluksne_pils-iela-25_neoclassicism_web.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9561061,24.1212739,Brīvības iela 56,"Brīvības iela 56, Centra rajons, Rīga, LV-1010",Rīgas Svētā Aleksandra Ņevska pareizticīgo baznīca,Pareizticīgās baznīcas,Baznīca,Kristiāns Frīdrihs Breitkreics (?),,,,Kristiāns Breitkreics (?),1825,1825,-1825,1825,1825-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 75.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_brivibas-iela-56_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_brivibas-iela-56_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9550774,24.1009927,Citadeles iela 7,"Citadeles iela 7, Centra rajons, Rīga, LV-1010",Rīgas Svētā Pētera un Pāvila baznīca,Pareizticīgās baznīcas,Baznīca,Zigismunds Zēge fon Laurenbergs,,,,Zigismunds Zēge fon Laurenbergs,1785,1785,-1785,1785,1785-01-01,"Līdz 1886. gadam celtne kalpojusi kā pareizticīgo katedrāle, pēc tam atdota igauņu draudzei. Restaurēta 1987. gadā, iekārtojot koncertzāli Ave sol. Darbu uzraudzīja Kristofs Hāberlands.","Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 65.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_citadeles-iela-7_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_citadeles-iela-7_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9415566,24.123625,Elijas iela 18,"Elijas iela 18, Latgales priekšpilsēta, Rīga, LV-1050",Rīgas Jēzus evaņģēliski luteriskā baznīca,Evanģēliskās baznīcas,Baznīca,Kristiāns Frīdrihs Breitkreics,Johans Pēters Krīks,J. D. Gotfrīds,,"Kristiāns Frīdrihs Breitkreics, Johans Pēters Krīks, J. D. Gotfrīds",1822,1822,-1822,1822,1822-01-01,Viena no lielākajām koka celtnēm Latvijā.,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 68.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_elijas-iela-18_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_elijas-iela-18_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9439352,24.1231782,Emīlijas Benjamiņas iela 9 (bij. Gogoļa iela 9),"Emīlijas Benjamiņas iela 9, Latgales priekšpilsēta, Rīga, LV-1050",Rīgas Vissvētās Dievmātes Pasludināšanas un Nikolaja brīnumdarītāja pareizticīgo baznīca,Pareizticīgās baznīcas,Baznīca,Teodors Gotfrīds Šulcs,,,,Teodors Gotfrīds Šulcs,1818,1818,-1818,1818,1818-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 74.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_emilijas-benjaminas-iela-9_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_emilijas-benjaminas-iela-9_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.8993008,24.1723252,"""Ticības"", Ķekavas pagasts, LV-2111","Ticības, Ķekavas pagasts, LV-2111",Katlakalna evaņģēliski luteriskā baznīca,Evanģēliskās baznīcas,Baznīca,Kristofs Hāberlands,,,,Kristofs Hāberlands,1794,1794,-1794,1794,1794-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 68.",Katlakalns,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_katlakalna-evangeliski-luteriska-baznica_neoclassicism_web.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_katlakalna-evangeliski-luteriska-baznica_neoclassicism_web.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,TRUE,https://commons.wikimedia.org/wiki/File:Katlakalna_bazn%C4%ABca_pie_R%C4%ABgas_2000-03-05.jpg,J. Sedols,Creative Commons Attribution 3.0 Unported
56.9053063,24.9292542,"„Luterāņu baznīca”, Suntaži, LV-5060","Suntaži, Suntažu pagasts, Ogres novads, LV-5060",Valgas Svētā Jāņa Evaņģēliski luteriskā baznīca,Evanģēliskās baznīcas,Baznīca,Kristofs Hāberlands,,,,Kristofs Hāberlands,1782,1782,-1782,1782,1782-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 68.",Suntaži,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/suntazi_suntuzu-evangeliski-luteriska-baznica_neoclassicism_web.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/suntazi_suntuzu-evangeliski-luteriska-baznica_neoclassicism_web.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,TRUE,https://commons.wikimedia.org/wiki/File:%D0%A1%D1%83%D0%BD%D1%82%D0%B0%D0%B6%D1%81%D0%BA%D0%B0%D1%8F_%D1%86%D0%B5%D1%80%D0%BA%D0%BE%D0%B2%D1%8C.jpg,anakes,Creative Commons Attribution 3.0 Unported
57.7769126,26.0308374,Kesk tn 21,"Kesk tn 21, Valga, 68203 Valga maakond, Estonia",,Evanģēliskās baznīcas,Baznīca,Kristofs Hāberlands,,,,Kristofs Hāberlands,1785,1785,-1785,1785,1785-01-01,,"Skaidrīte Cielava [Zvanere-Zvanītāja], Arhitektūras stili Latvijā (Rīga: Mācību apgāds NT, 1998), 49.",Valga,Igaunija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/valga_kesk-tn-21_neoclassicism_web.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/valga_kesk-tn-21_neoclassicism_web.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,TRUE,https://commons.wikimedia.org/wiki/File:Valga_Jaani_kirik_vaade_platsi_poolt._(2).jpg,Jyriorel,Creative Commons Attribution-Share Alike 4.0 International
56.9567846,24.119961,Baznīcas iela 14,"Baznīcas iela 14, Centra rajons, Rīga, LV-1010",,Koka ēkas,Dzīvojamā ēka,Nezināms,,,,Nezināms,1899,1899,-1899,1899,1899-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 70–71. un https://www.nkmp.gov.lv/sites/nkmp/files/data_content/arhitekturas_stili_latvija1.pdf",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_baznicas-iela-14_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_baznicas-iela-14_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9536635,24.1233805,Blaumaņa iela 20,"Blaumaņa iela 20, Centra rajons, Rīga, LV-1011",,Koka ēkas,Dzīvojamā ēka,Nezināms,,,,Nezināms,1801,1833,-1801,19. gs. pirmā trešdaļa,1801-01-01,Ēka nojaukta.,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 71.",Rīga,Latvija,,,,,,
56.9502176,24.1220020,Elizabetes iela 83a,"Elizabetes iela 83a, Centra rajons, Rīga, LV-1050",,Koka ēkas,Dzīvojamā ēka,Nezināms,,,,Nezināms,1801,1833,-1801,19. gs. pirmā trešdaļa,1801-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 70.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_elizabetes-iela-83a_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_elizabetes-iela-83a_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9411074,24.1226419,Jēzusbaznīcas iela 7/9,"Jēzusbaznīcas iela 7/9, Latgales priekšpilsēta, Rīga, LV-1050",,Koka ēkas,Dzīvojamā ēka,Nezināms,,,,Nezināms,1801,1833,-1801,19. gs. pirmā trešdaļa,1801-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 71.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_jezusbaznicas-iela-7_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_jezusbaznicas-iela-7_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.958733,24.11734,Krišjāņa Valdemāra iela 41,"Krišjāņa Valdemāra iela 41, Centra rajons, Rīga, LV-1010",,Koka ēkas,Dzīvojamā ēka,Nezināms,,,,Nezināms,1801,1833,-1801,19. gs. pirmā trešdaļa,1801-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 70.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_krisjana-valdemara-iela-41_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_krisjana-valdemara-iela-41_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.95888,24.117698,Krišjāņa Valdemāra iela 43,"Krišjāņa Valdemāra iela 43, Centra rajons, Rīga, LV-1010",,Koka ēkas,Dzīvojamā ēka,Nezināms,,,,Nezināms,1801,1833,-1801,19. gs. pirmā trešdaļa,1801-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 70.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_krisjana-valdemara-iela-43_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_krisjana-valdemara-iela-43_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9564813,24.1206885,Lāčplēša iela 12,"Lāčplēša iela 12, Centra rajons, Rīga, LV-1010",,Koka ēkas,Dzīvojamā ēka,Nezināms,,,,Nezināms,1801,1833,-1801,19. gs. pirmā trešdaļa,1801-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 70.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_lacplesa-iela-12_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_lacplesa-iela-12_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
56.9566288,24.1204666,Lāčplēša iela 10,"Lāčplēša iela 10, Centra rajons, Rīga, LV-1010",,Koka ēkas,Dzīvojamā ēka,Nezināms,,,,Nezināms,1801,1833,-1801,19. gs. pirmā trešdaļa,1801-01-01,,"Jānis Krastiņš, Rīgas arhitektūras stili (Rīga: Jumava, 2005), 70.",Rīga,Latvija,https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_lacplesa-iela-10_neoclassicism.jpg,<img src = 'https://raw.githubusercontent.com/Vladusty/riga-neoclassical-buildings-dataset/main/riga_neoclassical_buildings_photos/riga_lacplesa-iela-10_neoclassicism.jpg'  style='height: 100%; width: 100%; object-fit: contain'/>,FALSE,Personīgais arhīvs,Vladislavs Babaņins,Creative Commons Attribution 4.0 International (CC BY 4.0)
